place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,746b099103ec47ebd4fc926dcefcbc56,4,The sandwich wasn t bad. I heard the hype about it and wanted to try it so I came in on my birthday to try it out for the first time. Ox tail mac and cheese beef patty on a coconut roll with ox juice on top. Great idea. Very messy. The guy did give a lot of napkins though without me even asking which is always nice and definitely necessary in this case! In theory it s a great sandwich. In reality it was 3 stars. Nothing to write home about. Or maybe that was just a bad day. Who knows?  They also have lots of interesting exotic snacks from different countries around the world. And even some interesting variations of American snacks that you definitely don t see everywhere.,3 months ago,2023-12-28 16:54:47.912001,,,,8,179,2614,True,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,818295c4db8f16a3600f1174cc57daa7,4,"Was tasty, the oxtail patty could have been a win I just didn t like that as you re eating it there s bay leaves and all spice in it. So biting into those things ruin the entire thing. Food",3 months ago,2023-12-28 16:54:47.914906,,,,0,11,2,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,5bc9984b5b56235f2be13fa7bfd516e5,5,Was here like 4 weeks ago the food was good and hot and had tons of snacks from over seas,3 months ago,2023-12-28 16:54:47.917917,,,,0,47,24,True,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,f49fc0ed7a407e24ff4eae59643c00d8,5,Came here one night with my friend to get the mac daddy sandwich Service was so friendly one of the nicest delis I ve been in. Sandwich? Amazing. It was devoured in 3 bites with their special guyanese sauce. Also threw in plantains for free for us. Food,3 months ago,2023-12-28 16:54:47.921224,,,,1,1,21,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,711879b9ae0b74adaaeba3918e0f6b0a,5,"I got the oxtail Mac patty and it was so good. The coco bread was perfect and the beef patty was flaky . The oxtail was good , the sauce could be slightly deeper , but the fact that it s oxtail and I don t have to pick the meat off of the bone I d still give it a 5/5 even if the sauce was a little lacking. In context of everything together it worked really well. Customer service was really nice , I didn t expect much because we are in NY and it s manhattan but the guy was super nice and friendly.",3 months ago,2023-12-28 16:54:47.924781,,,,0,5,1,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,f6d8d9cf4237e76e7581ca9fb27381e2,4,This was good but maybe I expected too much. Is it good? Yes. Is it overhyped? Yes. Would I try again? No. Just not my thing but I do hope they continue the success theyre experiencing.,3 months ago,2023-12-28 16:54:47.927633,,,,0,76,14,True,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,c5645580d5636d75e20b98b0dacb1d13,5,,3 months ago,2023-12-28 16:54:48.643452,,,,0,6,,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,1beb17b8c27bfd17cfcf097ecfffb724,5,"Im here all the time..dont miss out on getting you some big eats being cheap. Treat yourself to some curry goat, Mac Patty and anything else your heart desires.  You wont regret it! Nom Nom",3 months ago,2023-12-28 16:54:48.646086,,,,0,49,12,True,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,3e87faa5f33f1c19e2d3c4bb8c95cacb,5,As soon as I bought an oxtail sandwich I ate it right away inside my car. So good!!!,3 months ago,2023-12-28 16:54:48.649243,,,,0,3,,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,3c3e67833b0beae8d7915914744f9033,3,14$ is too much for a pattie idc what you put in it .. it was fun to eat .. but upset my stomach all nite ..Im good,3 months ago,2023-12-28 16:54:48.651614,,,,0,17,,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,cef02449dbf8bb07fb882d5d659bd190,5,,3 months ago,2023-12-28 16:54:48.654536,,,,0,2,,False,,
